id,provinsi,jenis,nama_pariwisata,latitude,longitude,lebar,tinggi,kemiringan
104,PAPUA BARAT,KPPN,KPPN Teluk Bintuni dan sekitarnya,-2.268084172,133.6541748,40000,22000,140
105,PAPUA BARAT,KPPN,KPPN Peg. Fak-Fak-Kumafa dan sekitarnya,-2.827830735,132.2753906,50000,30000,100
106,PAPUA BARAT,KPPN,KPPN Sorong dan sekitarnya,-0.92830411,130.8911133,60000,30000,90
182,PAPUA BARAT,KPPN,KPPN Kupang-Soe dan sekitarnya,-9.925581352,123.9587402,90000,38000,55
190,PAPUA BARAT,KPPN,KPPN Tangkuban Perahu dan sekitarnya,-6.752579317,107.5767517,10000,4000,60
141,RIAU,KPPN,KPPN Sawah Lunto dan sekitarnya,-0.587777314,100.7432556,13000,8000,-25
142,RIAU,KPPN,KPPN Muara Takus-Kampar dan sekitarnya,0.422893518,100.6402588,13000,8000,-25
143,RIAU,KPPN,KPPN Pekanbaru Kota dan sekitarnya,0.414692128,101.3296509,22000,17000,-40
144,RIAU,KPPN,KPPN Siak Inderapura dan sekitarnya,0.755250049,102.0437622,65000,20000,75
145,RIAU,KPPN,KPPN Pulau Jemur-Rokan Hilir dan sekitarnya,2.333872942,100.6072998,70000,34000,-10
121,SULAWESI BARAT,KPPN,KPPN Lore Lindu dan sekitarnya,-1.474751684,120.0640869,30000,15000,45
122,SULAWESI SELATAN,KPPN,KPPN Majene dan sekitarnya,-3.379081932,118.8693237,25000,15000,-25
123,SULAWESI SELATAN,KPPN,KPPN Palopo dan sekitarnya,-2.956755623,120.1849365,15000,8000,150
124,SULAWESI SELATAN,KPPN,KPPN Sengkang dan sekitarnya,-4.036878064,119.9432373,22000,12000,140
125,SULAWESI SELATAN,KPPN,KPPN Makassar Kota dan sekitarnya,-5.345317496,119.5010376,45000,30000,180
126,SULAWESI SELATAN,KPPN,KPPN Bulukumba dan sekitarnya,-5.542179398,120.1382446,38000,16000,90
127,SULAWESI SELATAN,KPPN,KPPN Sinjai dan sekitarnya,-5.305663964,120.1066589,25000,10000,75
128,SULAWESI SELATAN,KPPN,KPPN Maros Karst dan sekitarnya,-4.973296375,119.5985413,25000,13000,110
219,SULAWESI SELATAN,KPPN,KPPN Biak dan sekitarnya,-1.132891262,136.1686707,47000,27000,110
221,SULAWESI SELATAN,KPPN,KPPN Sambas dan sekitarnya,1.417091829,109.4677734,61000,40000,109
247,SULAWESI SELATAN,KPPN,KPPN Natuna dan sekitarnya,3.842331631,107.9296875,100000,41000,10
117,SULAWESI TENGAH,KPPN,KPPN Boalemo dan sekitarnya,0.475153245,122.3657227,50000,12000,90
118,SULAWESI TENGAH,KPPN,KPPN Banggai dan sekitarnya,-1.661449236,123.4588623,27000,15000,60
119,SULAWESI TENGAH,KPPN,KPPN Danau Poso dan sekitarnya,-1.716357012,120.6820679,45000,20000,15
120,SULAWESI TENGAH,KPPN,KPPN Palu dan sekitarnya,-0.936542765,119.8223877,45000,25000,-17
241,SULAWESI TENGAH,KPPN,KPPN Tomohon-Tondano dan sekitarnya,1.194676607,124.962616,15000,20000,60
63,SULAWESI TENGGARA,KPPN,KPPN Bima dan sekitarnya,-8.377279271,118.9187622,48000,34000,120
64,SULAWESI TENGGARA,KPPN,KPPN Bau-Bau dan sekitarnya,-5.41641394,122.8024292,59000,30000,60
65,SULAWESI TENGGARA,KPPN,KPPN Kendari dan sekitarnya,-4.012219782,122.5881958,31000,15000,120
113,SULAWESI UTARA,KPPN,KPPN Bogani Nani Wartabone dan sekitarnya,0.428462803,123.5192871,30000,15000,100
114,SULAWESI UTARA,KPPN,KPPN Sangihe Talaud dan sekitarnya,3.897138029,126.1999512,120000,57000,50
115,SULAWESI UTARA,KPPN,KPPN Likupang dan sekitarnya,1.643603878,125.0546265,10000,19000,140
238,SULAWESI UTARA,KPPN,KPPN Long Bagun dan sekitarnya,0.71409284,115.1422119,15000,25000,80
239,SULAWESI UTARA,KPPN,KPPN Bunaken dan sekitarnya,1.676549029,124.755249,9000,15000,120
240,SULAWESI UTARA,KPPN,KPPN Bitung-Lembeh dan sekitarnya,1.462396125,125.1535034,13500,20000,140
84,SUMATERA BARAT,KPPN,KPPN Takengon dan sekitarnya,4.6161223,96.91726685,15000,7000,110
85,SUMATERA BARAT,KPPN,KPPN Sipora dan sekitarnya,-2.207705456,99.72564697,29000,14000,155
86,SUMATERA BARAT,KPPN,KPPN Pagai Utara dan sekitarnya,-2.814114466,100.1403809,29000,16000,159
88,SUMATERA BARAT,KPPN,KPPN Kerinci Seblat dan sekitarnya,-2.004595795,101.2939453,39000,21000,160
139,SUMATERA BARAT,KPPN,KPPN Tanjung Redeb dan sekitarnya,2.125366902,117.5111389,20000,13000,150
140,SUMATERA BARAT,KPPN,KPPN Batusangkar dan sekitarnya,-0.32411402,100.5812073,23000,10000,20
229,SUMATERA BARAT,KPPN,KPPN Teluk Dalam dan sekitarnya,0.766273543,97.8112793,38000,21000,180
244,SUMATERA BARAT,KPPN,KPPN Derawan-Sangalaki dan sekitarnya,2.086940731,118.5534668,55000,26000,130
259,SUMATERA BARAT,KPPN,KPPN Maninjau dan sekitarnya,-0.39552374,100.1197815,22000,9000,35
154,SUMATERA SELATAN,KPPN,KPPN Pantai Panjang dan sekitarnya,-4.499761744,102.9968262,80000,27000,-50
209,SUMATERA SELATAN,KPPN,KPPN Karst Pacitan dan sekitarnya,-8.138089996,110.9550476,20000,12000,110
248,SUMATERA SELATAN,KPPN,KPPN Wakatobi dan sekitarnya,-5.635119296,123.7994385,59000,30000,140
70,SUMATERA UTARA,KPPN,KPPN Tobelo dan sekitarnya,1.466514652,127.8781128,43000,21000,180
71,SUMATERA UTARA,KPPN,KPPN Bukit Lawang dan sekitarnya,3.466815751,98.2699585,20000,12000,90
72,SUMATERA UTARA,KPPN,KPPN Sibolga dan sekitarnya,1.633994773,98.72589111,16000,22000,130
73,SUMATERA UTARA,KPPN,KPPN Medan Kota dan sekitarnya,3.56550656,98.68743896,17000,11000,190
74,SUMATERA UTARA,KPPN,KPPN Nias Barat dan sekitarnya,1.274308992,97.36083984,35000,20000,90
226,SUMATERA UTARA,KPPN,KPPN Ujung Kulon dan sekitarnya,-6.689159146,105.4275513,48000,23000,80
227,SUMATERA UTARA,KPPN,KPPN Toba dan sekitarnya,2.60835151,98.80554199,55000,28000,140
228,SUMATERA UTARA,KPPN,KPPN Tangkahan-Leuser dan sekitarnya,3.77655931,98.23699951,30000,18000,90
324,ACEH,KSPN,KSPN Natuna dan sekitarnya,3.842331631,107.9296875,100000,41000,10
354,ACEH,KSPN,KSPN Nemberala-Rotendao dan sekitarnya,-10.75777812,122.9754639,46000,23000,65
339,BALI,KSPN,KSPN Ijen-Baluran dan sekitarnya,-8.042920302,114.2715454,17000,30000,145
340,BALI,KSPN,KSPN Menjangan-Pemuteran dan sekitarnya,-8.148969411,114.6286011,7000,18000,11
341,BALI,KSPN,KSPN TN. Bali Barat dan sekitarnya,-8.341960809,114.609375,12000,27000,11
342,BALI,KSPN,KSPN Bali Utara-Singaraja dan sekitarnya,-8.146250562,115.0268554,6000,14000,-30
343,BALI,KSPN,KSPN Bedugul dan sekitarnya,-8.211494191,115.1422119,4000,7000,85
344,BALI,KSPN,KSPN Kintamani-Danau Batur dan sekitarnya,-8.242754823,115.4003906,4000,8000,110
345,BALI,KSPN,KSPN Besakih-Gunung Agung dan sekitarnya,-8.358261733,115.4292297,3000,5000,115
