tahun,bulan,provinsi,nama_pintu_masuk,jenis_pintu_masuk,jumlah_kunjungan_wisman
2023,Maret,KALIMANTAN BARAT,Entikong,Darat,2905
2023,Maret,KALIMANTAN BARAT,Aruk,Darat,2169
2023,Maret,KALIMANTAN BARAT,Nanga Badau,Darat,669
2023,Maret,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,65533
2023,April,BALI,Ngurah Rai,Udara,410281
2023,April,DKI JAKARTA,Soekarno-Hatta,Udara,99289
2023,April,JAWA TIMUR,Juanda,Udara,12361
2023,April,SUMATERA UTARA,Kualanamu,Udara,15497
2023,April,JAWA BARAT,Husein Sastranegara,Udara,0
2023,April,DI YOGYAKARTA,Adi Sucipto,Udara,5592
2023,April,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,2903
2023,April,SULAWESI UTARA,Sam Ratulangi,Udara,4156
2023,April,SUMATERA BARAT,Minangkabau,Udara,4100
2023,April,RIAU,Sultan Syarif Kasim II,Udara,2453
2023,April,ACEH,Sultan Iskandar Muda,Udara,1349
2023,April,JAWA TENGAH,Ahmad Yani,Udara,0
2023,April,KALIMANTAN BARAT,Supadio,Udara,0
2023,April,SULAWESI SELATAN,Hasanuddin,Udara,1564
2023,April,SUMATERA SELATAN,Sultan Badaruddin II,Udara,0
2023,April,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,889
2023,April,KEP. RIAU,Batam,Laut,88776
2023,April,KEP. RIAU,Tanjung Uban,Laut,18547
2023,April,KEP. RIAU,Tanjung Pinang,Laut,5324
2023,April,KEP. RIAU,Tanjung Balai Karimun,Laut,5801
2023,April,BALI,Tanjung Benoa,Laut,1229
2023,April,JAWA TENGAH,Tanjung Mas,Laut,0
2023,April,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,115983
2023,April,PAPUA,Jayapura,Darat,91
2023,April,NUSA TENGGARA TIMUR,Atambua,Darat,7322
2023,April,KALIMANTAN BARAT,Entikong,Darat,2929
2023,April,KALIMANTAN BARAT,Aruk,Darat,3592
2023,April,KALIMANTAN BARAT,Nanga Badau,Darat,735
2023,April,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,55048
2023,Mei,BALI,Ngurah Rai,Udara,439454
2023,Mei,DKI JAKARTA,Soekarno-Hatta,Udara,158550
2023,Mei,JAWA TIMUR,Juanda,Udara,15734
2023,Mei,SUMATERA UTARA,Kualanamu,Udara,16262
2023,Mei,JAWA BARAT,Husein Sastranegara,Udara,17
2023,Mei,DI YOGYAKARTA,Adi Sucipto,Udara,8160
2023,Mei,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,4848
2023,Mei,SULAWESI UTARA,Sam Ratulangi,Udara,3798
2023,Mei,SUMATERA BARAT,Minangkabau,Udara,4624
2023,Mei,RIAU,Sultan Syarif Kasim II,Udara,2293
2023,Mei,ACEH,Sultan Iskandar Muda,Udara,2350
2023,Mei,JAWA TENGAH,Ahmad Yani,Udara,0
2023,Mei,KALIMANTAN BARAT,Supadio,Udara,0
2023,Mei,SULAWESI SELATAN,Hasanuddin,Udara,1432
2023,Mei,SUMATERA SELATAN,Sultan Badaruddin II,Udara,0
