"tahun","provinsi","persentase_tpk_hotel_bintang","persentase_tpk_hotel_nonbintang"
2020,SULAWESI TENGGARA,30.67,14.54
2020,GORONTALO,32.83,12.34
2020,SULAWESI BARAT,30.97,13.68
2020,MALUKU,35.5,10.18
2020,MALUKU UTARA,28.54,15.17
2020,PAPUA BARAT,37.94,14.14
2020,PAPUA,34.35,17.72
2021,ACEH,29.36,20.97
2021,SUMATERA UTARA,37.48,26.29
2021,SUMATERA BARAT,42.04,18.34
2021,RIAU,39.54,28.76
2021,JAMBI,38.48,21.55
2021,SUMATERA SELATAN,48.79,23.06
2021,BENGKULU,38.66,17.32
2021,LAMPUNG,43.64,25.37
2021,KEP. BANGKA BELITUNG,23.12,18.54
2021,KEP. RIAU,25.54,23.2
2021,DKI JAKARTA,44.95,36.32
2021,JAWA BARAT,39.64,19.54
2021,JAWA TENGAH,31.87,19.77
2021,DI YOGYAKARTA,39.78,15.05
2021,JAWA TIMUR,40.66,20.22
2021,BANTEN,40.99,18.52
2021,BALI,13.0,5.82
2021,NUSA TENGGARA BARAT,33.51,14.91
2021,NUSA TENGGARA TIMUR,33.85,10.84
2021,KALIMANTAN BARAT,40.6,25.76
2021,KALIMANTAN TENGAH,43.32,19.13
2021,KALIMANTAN SELATAN,41.49,21.45
2021,KALIMANTAN TIMUR,50.86,20.61
2021,KALIMANTAN UTARA,45.75,20.17
2021,SULAWESI UTARA,42.21,23.27
2021,SULAWESI TENGAH,40.82,15.66
2021,SULAWESI SELATAN,37.4,19.93
2021,SULAWESI TENGGARA,37.89,20.87
2021,GORONTALO,43.75,16.58
2021,SULAWESI BARAT,25.95,20.64
2021,MALUKU,39.33,18.1
2021,MALUKU UTARA,43.02,17.57
2021,PAPUA BARAT,46.23,16.28
2021,PAPUA,43.49,25.29
2022,ACEH,32.24,23.62
2022,SUMATERA UTARA,44.43,27.56
2022,SUMATERA BARAT,48.32,19.86
2022,RIAU,41.62,28.36
2022,JAMBI,48.55,26.66
2022,SUMATERA SELATAN,53.54,19.58
2022,BENGKULU,40.15,18.18
2022,LAMPUNG,55.52,28.87
2022,KEP. BANGKA BELITUNG,33.57,17.82
2022,KEP. RIAU,40.28,28.57
2022,DKI JAKARTA,53.6,38.84
2022,JAWA BARAT,50.95,24.47
2022,JAWA TENGAH,44.92,22.35
2022,DI YOGYAKARTA,57.08,22.87
2022,JAWA TIMUR,52.56,23.85
2022,BANTEN,50.46,15.85
2022,BALI,35.32,15.01
2022,NUSA TENGGARA BARAT,34.25,16.31
2022,NUSA TENGGARA TIMUR,39.87,15.07
2022,KALIMANTAN BARAT,49.84,28.66
2022,KALIMANTAN TENGAH,51.77,21.74
2022,KALIMANTAN SELATAN,50.19,23.98
2022,KALIMANTAN TIMUR,61.83,22.07
2022,KALIMANTAN UTARA,47.41,27.14
2022,SULAWESI UTARA,42.57,22.24
2022,SULAWESI TENGAH,50.04,18.26
2022,SULAWESI SELATAN,48.31,21.12
2022,SULAWESI TENGGARA,40.07,19.22
2022,GORONTALO,43.76,17.16
2022,SULAWESI BARAT,28.65,21.79
2022,MALUKU,33.7,17.76
2022,MALUKU UTARA,46.37,23.54
2022,PAPUA BARAT,48.17,20.17
2022,PAPUA,37.3,22.1
2023,ACEH,31.05,20.48
2023,SUMATERA UTARA,47.71,25.09
2023,SUMATERA BARAT,48.72,17.7
2023,RIAU,38.53,26.74
2023,JAMBI,54.17,25.16
2023,SUMATERA SELATAN,54.08,20.35
2023,BENGKULU,44.86,17.86
2023,LAMPUNG,53.51,25.54
2023,KEP. BANGKA BELITUNG,32.62,18.72
2023,KEP. RIAU,47.42,33.22
2023,DKI JAKARTA,54.27,39.31
2023,JAWA BARAT,51.23,22.67
2023,JAWA TENGAH,47.78,22.73
2023,DI YOGYAKARTA,59.29,21.68
2023,JAWA TIMUR,53.44,23.59
2023,BANTEN,53.33,17.62
2023,BALI,53.05,31.94
2023,NUSA TENGGARA BARAT,37.95,22.67
2023,NUSA TENGGARA TIMUR,41.59,16.43
2023,KALIMANTAN BARAT,54.26,28.32
2023,KALIMANTAN TENGAH,51.6,22.02
2023,KALIMANTAN SELATAN,54.69,23.46
2023,KALIMANTAN TIMUR,60.56,24.16
2023,KALIMANTAN UTARA,52.21,33.22
2023,SULAWESI UTARA,42.37,21.74
2023,SULAWESI TENGAH,52.49,20.07
2023,SULAWESI SELATAN,48.33,20.09
2023,SULAWESI TENGGARA,42.52,19.35
2023,GORONTALO,42.42,19.13
2023,SULAWESI BARAT,35.7,18.96
2023,MALUKU,35.61,16.18
2023,MALUKU UTARA,44.98,21.96
2023,PAPUA BARAT,47.32,18.44
2023,PAPUA,36.81,21.01
