provinsi,bulan,jumlah_kunjungan_wisnus,tahun
SUMATERA BARAT,Mei,1538507,2023
RIAU,Mei,977332,2023
JAMBI,Mei,421741,2023
SUMATERA SELATAN,Mei,1021583,2023
BENGKULU,Mei,241660,2023
LAMPUNG,Mei,1376686,2023
KEP. BANGKA BELITUNG,Mei,209111,2023
KEP. RIAU,Mei,200190,2023
DKI JAKARTA,Mei,4205052,2023
JAWA BARAT,Mei,12614837,2023
JAWA TENGAH,Mei,11879262,2023
DI YOGYAKARTA,Mei,3122919,2023
JAWA TIMUR,Mei,22309466,2023
BANTEN,Mei,3255453,2023
BALI,Mei,1619283,2023
NUSA TENGGARA BARAT,Mei,1025070,2023
NUSA TENGGARA TIMUR,Mei,344325,2023
KALIMANTAN BARAT,Mei,404409,2023
KALIMANTAN TENGAH,Mei,299372,2023
KALIMANTAN SELATAN,Mei,589759,2023
KALIMANTAN TIMUR,Mei,643021,2023
KALIMANTAN UTARA,Mei,46157,2023
SULAWESI UTARA,Mei,460407,2023
SULAWESI TENGAH,Mei,716311,2023
SULAWESI SELATAN,Mei,2472401,2023
SULAWESI TENGGARA,Mei,1294740,2023
GORONTALO,Mei,162712,2023
SULAWESI BARAT,Mei,406264,2023
MALUKU,Mei,75390,2023
MALUKU UTARA,Mei,148300,2023
PAPUA BARAT,Mei,49782,2023
PAPUA,Mei,100494,2023
ACEH,Juni,701963,2023
SUMATERA UTARA,Juni,2416258,2023
SUMATERA BARAT,Juni,1407632,2023
RIAU,Juni,1016640,2023
JAMBI,Juni,424987,2023
SUMATERA SELATAN,Juni,968252,2023
BENGKULU,Juni,225886,2023
LAMPUNG,Juni,1208281,2023
KEP. BANGKA BELITUNG,Juni,218299,2023
KEP. RIAU,Juni,230629,2023
DKI JAKARTA,Juni,4741778,2023
JAWA BARAT,Juni,12392325,2023
JAWA TENGAH,Juni,10317259,2023
DI YOGYAKARTA,Juni,3060366,2023
JAWA TIMUR,Juni,20347494,2023
BANTEN,Juni,3021918,2023
BALI,Juni,2090327,2023
NUSA TENGGARA BARAT,Juni,1628775,2023
NUSA TENGGARA TIMUR,Juni,501565,2023
KALIMANTAN BARAT,Juni,407707,2023
KALIMANTAN TENGAH,Juni,340119,2023
KALIMANTAN SELATAN,Juni,630115,2023
KALIMANTAN TIMUR,Juni,695994,2023
KALIMANTAN UTARA,Juni,54764,2023
SULAWESI UTARA,Juni,480374,2023
SULAWESI TENGAH,Juni,465410,2023
SULAWESI SELATAN,Juni,1983399,2023
SULAWESI TENGGARA,Juni,899696,2023
GORONTALO,Juni,154749,2023
SULAWESI BARAT,Juni,297134,2023
MALUKU,Juni,85195,2023
MALUKU UTARA,Juni,162908,2023
PAPUA BARAT,Juni,62022,2023
PAPUA,Juni,133566,2023
ACEH,Juli,871519,2023
SUMATERA UTARA,Juli,2462212,2023
SUMATERA BARAT,Juli,1413899,2023
RIAU,Juli,1048542,2023
JAMBI,Juli,433896,2023
SUMATERA SELATAN,Juli,1013893,2023
BENGKULU,Juli,241961,2023
LAMPUNG,Juli,1293197,2023
KEP. BANGKA BELITUNG,Juli,234099,2023
KEP. RIAU,Juli,211471,2023
DKI JAKARTA,Juli,4765407,2023
JAWA BARAT,Juli,14209134,2023
JAWA TENGAH,Juli,10496595,2023
DI YOGYAKARTA,Juli,2864007,2023
JAWA TIMUR,Juli,17427521,2023
BANTEN,Juli,3606807,2023
