provinsi,bulan,jumlah_kunjungan_wisnus,tahun
JAMBI,Oktober,289153,2022
SUMATERA SELATAN,Oktober,665454,2022
BENGKULU,Oktober,154957,2022
LAMPUNG,Oktober,834108,2022
KEP. BANGKA BELITUNG,Oktober,126635,2022
KEP. RIAU,Oktober,132432,2022
DKI JAKARTA,Oktober,5504491,2022
JAWA BARAT,Oktober,11162878,2022
JAWA TENGAH,Oktober,7918510,2022
DI YOGYAKARTA,Oktober,2078100,2022
JAWA TIMUR,Oktober,15437648,2022
BANTEN,Oktober,4003986,2022
BALI,Oktober,1172441,2022
NUSA TENGGARA BARAT,Oktober,276772,2022
NUSA TENGGARA TIMUR,Oktober,245510,2022
KALIMANTAN BARAT,Oktober,260901,2022
KALIMANTAN TENGAH,Oktober,230067,2022
KALIMANTAN SELATAN,Oktober,449173,2022
KALIMANTAN TIMUR,Oktober,533691,2022
KALIMANTAN UTARA,Oktober,30041,2022
SULAWESI UTARA,Oktober,365860,2022
SULAWESI TENGAH,Oktober,543272,2022
SULAWESI SELATAN,Oktober,1922182,2022
SULAWESI TENGGARA,Oktober,1056378,2022
GORONTALO,Oktober,100365,2022
SULAWESI BARAT,Oktober,311722,2022
MALUKU,Oktober,52357,2022
MALUKU UTARA,Oktober,119219,2022
PAPUA BARAT,Oktober,40627,2022
PAPUA,Oktober,81068,2022
ACEH,November,471520,2022
SUMATERA UTARA,November,1525633,2022
SUMATERA BARAT,November,877671,2022
RIAU,November,640199,2022
JAMBI,November,262087,2022
SUMATERA SELATAN,November,603787,2022
BENGKULU,November,133058,2022
LAMPUNG,November,762778,2022
KEP. BANGKA BELITUNG,November,115001,2022
KEP. RIAU,November,131230,2022
DKI JAKARTA,November,4757430,2022
JAWA BARAT,November,9886282,2022
JAWA TENGAH,November,6403951,2022
DI YOGYAKARTA,November,1679978,2022
JAWA TIMUR,November,14709379,2022
BANTEN,November,3234134,2022
BALI,November,1118730,2022
NUSA TENGGARA BARAT,November,324132,2022
NUSA TENGGARA TIMUR,November,290876,2022
KALIMANTAN BARAT,November,235452,2022
KALIMANTAN TENGAH,November,209125,2022
KALIMANTAN SELATAN,November,416227,2022
KALIMANTAN TIMUR,November,514833,2022
KALIMANTAN UTARA,November,29600,2022
SULAWESI UTARA,November,322748,2022
SULAWESI TENGAH,November,555548,2022
SULAWESI SELATAN,November,1834305,2022
SULAWESI TENGGARA,November,1136194,2022
GORONTALO,November,92496,2022
SULAWESI BARAT,November,310736,2022
MALUKU,November,43671,2022
MALUKU UTARA,November,115762,2022
PAPUA BARAT,November,36457,2022
PAPUA,November,78388,2022
ACEH,Desember,639922,2022
SUMATERA UTARA,Desember,2283325,2022
SUMATERA BARAT,Desember,1307815,2022
RIAU,Desember,857727,2022
JAMBI,Desember,351987,2022
SUMATERA SELATAN,Desember,804851,2022
BENGKULU,Desember,185142,2022
LAMPUNG,Desember,1025144,2022
KEP. BANGKA BELITUNG,Desember,144054,2022
KEP. RIAU,Desember,185232,2022
DKI JAKARTA,Desember,5606163,2022
JAWA BARAT,Desember,12097392,2022
JAWA TENGAH,Desember,8165328,2022
DI YOGYAKARTA,Desember,2496730,2022
JAWA TIMUR,Desember,16432381,2022
BANTEN,Desember,3639318,2022
BALI,Desember,1688997,2022
NUSA TENGGARA BARAT,Desember,579154,2022
NUSA TENGGARA TIMUR,Desember,497011,2022
KALIMANTAN BARAT,Desember,345666,2022
KALIMANTAN TENGAH,Desember,282224,2022
KALIMANTAN SELATAN,Desember,532388,2022
KALIMANTAN TIMUR,Desember,638297,2022
KALIMANTAN UTARA,Desember,39514,2022
SULAWESI UTARA,Desember,401895,2022
SULAWESI TENGAH,Desember,575043,2022
SULAWESI SELATAN,Desember,2287771,2022
SULAWESI TENGGARA,Desember,1028565,2022
GORONTALO,Desember,117518,2022
SULAWESI BARAT,Desember,345542,2022
MALUKU,Desember,75278,2022
MALUKU UTARA,Desember,133388,2022
PAPUA BARAT,Desember,56395,2022
PAPUA,Desember,111840,2022
ACEH,Januari,396953,2021
SUMATERA UTARA,Januari,1424081,2021
SUMATERA BARAT,Januari,775782,2021
RIAU,Januari,507998,2021
JAMBI,Januari,247256,2021
SUMATERA SELATAN,Januari,541878,2021
BENGKULU,Januari,139180,2021
LAMPUNG,Januari,707904,2021
KEP. BANGKA BELITUNG,Januari,65347,2021
KEP. RIAU,Januari,60617,2021
DKI JAKARTA,Januari,2617796,2021
JAWA BARAT,Januari,6431349,2021
JAWA TENGAH,Januari,10965887,2021
DI YOGYAKARTA,Januari,1439708,2021
JAWA TIMUR,Januari,12801904,2021
BANTEN,Januari,2505336,2021
BALI,Januari,735234,2021
NUSA TENGGARA BARAT,Januari,222304,2021
NUSA TENGGARA TIMUR,Januari,236790,2021
KALIMANTAN BARAT,Januari,165093,2021
KALIMANTAN TENGAH,Januari,153097,2021
KALIMANTAN SELATAN,Januari,321253,2021
KALIMANTAN TIMUR,Januari,165649,2021
KALIMANTAN UTARA,Januari,37548,2021
SULAWESI UTARA,Januari,252298,2021
SULAWESI TENGAH,Januari,140380,2021
SULAWESI SELATAN,Januari,743342,2021
SULAWESI TENGGARA,Januari,209867,2021
GORONTALO,Januari,90759,2021
SULAWESI BARAT,Januari,124447,2021
MALUKU,Januari,78120,2021
MALUKU UTARA,Januari,68567,2021
PAPUA BARAT,Januari,56475,2021
PAPUA,Januari,124573,2021
ACEH,Februari,421243,2021
SUMATERA UTARA,Februari,1375473,2021
SUMATERA BARAT,Februari,735587,2021
RIAU,Februari,482533,2021
JAMBI,Februari,225630,2021
SUMATERA SELATAN,Februari,511557,2021
BENGKULU,Februari,131185,2021
LAMPUNG,Februari,647312,2021
KEP. BANGKA BELITUNG,Februari,72930,2021
KEP. RIAU,Februari,64867,2021
DKI JAKARTA,Februari,3090473,2021
JAWA BARAT,Februari,6772915,2021
JAWA TENGAH,Februari,10644269,2021
DI YOGYAKARTA,Februari,1429155,2021
JAWA TIMUR,Februari,12582632,2021
BANTEN,Februari,2674036,2021
BALI,Februari,627391,2021
NUSA TENGGARA BARAT,Februari,195816,2021
NUSA TENGGARA TIMUR,Februari,162261,2021
KALIMANTAN BARAT,Februari,194460,2021
KALIMANTAN TENGAH,Februari,151390,2021
KALIMANTAN SELATAN,Februari,313139,2021
KALIMANTAN TIMUR,Februari,154006,2021
KALIMANTAN UTARA,Februari,26992,2021
SULAWESI UTARA,Februari,284672,2021
SULAWESI TENGAH,Februari,139294,2021
SULAWESI SELATAN,Februari,724546,2021
SULAWESI TENGGARA,Februari,189183,2021
GORONTALO,Februari,92165,2021
SULAWESI BARAT,Februari,77882,2021
MALUKU,Februari,47482,2021
MALUKU UTARA,Februari,47555,2021
PAPUA BARAT,Februari,49044,2021
PAPUA,Februari,56995,2021
ACEH,Maret,445804,2021
SUMATERA UTARA,Maret,1415803,2021
SUMATERA BARAT,Maret,793796,2021
RIAU,Maret,511576,2021
JAMBI,Maret,239867,2021
SUMATERA SELATAN,Maret,553847,2021
BENGKULU,Maret,137722,2021
LAMPUNG,Maret,746409,2021
KEP. BANGKA BELITUNG,Maret,87341,2021
KEP. RIAU,Maret,75329,2021
DKI JAKARTA,Maret,3558538,2021
JAWA BARAT,Maret,8019390,2021
JAWA TENGAH,Maret,10992293,2021
DI YOGYAKARTA,Maret,1684846,2021
JAWA TIMUR,Maret,12511219,2021
BANTEN,Maret,2951840,2021
BALI,Maret,739544,2021
NUSA TENGGARA BARAT,Maret,244434,2021
NUSA TENGGARA TIMUR,Maret,222653,2021
KALIMANTAN BARAT,Maret,188046,2021
KALIMANTAN TENGAH,Maret,167356,2021
KALIMANTAN SELATAN,Maret,351197,2021
KALIMANTAN TIMUR,Maret,194579,2021
KALIMANTAN UTARA,Maret,27340,2021
SULAWESI UTARA,Maret,316834,2021
SULAWESI TENGAH,Maret,177093,2021
SULAWESI SELATAN,Maret,847765,2021
SULAWESI TENGGARA,Maret,208125,2021
GORONTALO,Maret,103269,2021
SULAWESI BARAT,Maret,81571,2021
MALUKU,Maret,48787,2021
MALUKU UTARA,Maret,54200,2021
PAPUA BARAT,Maret,41249,2021
PAPUA,Maret,69170,2021
ACEH,April,378402,2021
SUMATERA UTARA,April,1369304,2021
SUMATERA BARAT,April,712644,2021
RIAU,April,451372,2021
JAMBI,April,226476,2021
SUMATERA SELATAN,April,516146,2021
BENGKULU,April,124531,2021
LAMPUNG,April,706069,2021
KEP. BANGKA BELITUNG,April,84283,2021
KEP. RIAU,April,70355,2021
DKI JAKARTA,April,3486742,2021
JAWA BARAT,April,7535164,2021
JAWA TENGAH,April,10783115,2021
DI YOGYAKARTA,April,1637275,2021
JAWA TIMUR,April,11833348,2021
BANTEN,April,2864905,2021
BALI,April,913033,2021
NUSA TENGGARA BARAT,April,237622,2021
NUSA TENGGARA TIMUR,April,173424,2021
KALIMANTAN BARAT,April,171318,2021
KALIMANTAN TENGAH,April,155904,2021
KALIMANTAN SELATAN,April,328515,2021
KALIMANTAN TIMUR,April,189339,2021
KALIMANTAN UTARA,April,22191,2021
SULAWESI UTARA,April,319841,2021
SULAWESI TENGAH,April,154719,2021
SULAWESI SELATAN,April,765199,2021
SULAWESI TENGGARA,April,187883,2021
GORONTALO,April,89741,2021
SULAWESI BARAT,April,70523,2021
MALUKU,April,71019,2021
MALUKU UTARA,April,51844,2021
PAPUA BARAT,April,35284,2021
PAPUA,April,86207,2021
ACEH,Mei,599117,2021
SUMATERA UTARA,Mei,1674445,2021
SUMATERA BARAT,Mei,1025889,2021
RIAU,Mei,501143,2021
JAMBI,Mei,280176,2021
SUMATERA SELATAN,Mei,608248,2021
BENGKULU,Mei,179928,2021
LAMPUNG,Mei,975559,2021
KEP. BANGKA BELITUNG,Mei,93531,2021
KEP. RIAU,Mei,50771,2021
DKI JAKARTA,Mei,3671451,2021
JAWA BARAT,Mei,9062176,2021
JAWA TENGAH,Mei,12250918,2021
DI YOGYAKARTA,Mei,1754976,2021
JAWA TIMUR,Mei,13144701,2021
BANTEN,Mei,3435666,2021
BALI,Mei,873863,2021
NUSA TENGGARA BARAT,Mei,313718,2021
NUSA TENGGARA TIMUR,Mei,180257,2021
KALIMANTAN BARAT,Mei,177093,2021
KALIMANTAN TENGAH,Mei,160403,2021
KALIMANTAN SELATAN,Mei,389760,2021
KALIMANTAN TIMUR,Mei,211241,2021
KALIMANTAN UTARA,Mei,20610,2021
SULAWESI UTARA,Mei,372363,2021
SULAWESI TENGAH,Mei,187679,2021
SULAWESI SELATAN,Mei,937945,2021
SULAWESI TENGGARA,Mei,237647,2021
GORONTALO,Mei,117211,2021
SULAWESI BARAT,Mei,88146,2021
MALUKU,Mei,50091,2021
MALUKU UTARA,Mei,57892,2021
PAPUA BARAT,Mei,31565,2021
PAPUA,Mei,56054,2021
ACEH,Juni,457822,2021
SUMATERA UTARA,Juni,1571487,2021
SUMATERA BARAT,Juni,894952,2021
RIAU,Juni,521519,2021
JAMBI,Juni,255590,2021
SUMATERA SELATAN,Juni,574663,2021
BENGKULU,Juni,159098,2021
LAMPUNG,Juni,791886,2021
KEP. BANGKA BELITUNG,Juni,93222,2021
KEP. RIAU,Juni,65954,2021
DKI JAKARTA,Juni,3020770,2021
JAWA BARAT,Juni,7167804,2021
JAWA TENGAH,Juni,10559913,2021
DI YOGYAKARTA,Juni,1784864,2021
JAWA TIMUR,Juni,14179950,2021
BANTEN,Juni,2684415,2021
BALI,Juni,942465,2021
NUSA TENGGARA BARAT,Juni,311343,2021
NUSA TENGGARA TIMUR,Juni,246405,2021
KALIMANTAN BARAT,Juni,191558,2021
KALIMANTAN TENGAH,Juni,187859,2021
KALIMANTAN SELATAN,Juni,381521,2021
KALIMANTAN TIMUR,Juni,233957,2021
KALIMANTAN UTARA,Juni,24856,2021
SULAWESI UTARA,Juni,344017,2021
SULAWESI TENGAH,Juni,183102,2021
SULAWESI SELATAN,Juni,928134,2021
SULAWESI TENGGARA,Juni,212043,2021
GORONTALO,Juni,100327,2021
SULAWESI BARAT,Juni,91217,2021
MALUKU,Juni,55585,2021
MALUKU UTARA,Juni,57866,2021
PAPUA BARAT,Juni,42558,2021
PAPUA,Juni,86681,2021
ACEH,Juli,445355,2021
SUMATERA UTARA,Juli,1127318,2021
SUMATERA BARAT,Juli,664848,2021
RIAU,Juli,486997,2021
JAMBI,Juli,240188,2021
SUMATERA SELATAN,Juli,499604,2021
BENGKULU,Juli,126188,2021
LAMPUNG,Juli,564563,2021
KEP. BANGKA BELITUNG,Juli,73819,2021
KEP. RIAU,Juli,36721,2021
DKI JAKARTA,Juli,1516119,2021
JAWA BARAT,Juli,4073984,2021
JAWA TENGAH,Juli,8735768,2021
DI YOGYAKARTA,Juli,920309,2021
JAWA TIMUR,Juli,9773674,2021
BANTEN,Juli,1859367,2021
BALI,Juli,441796,2021
NUSA TENGGARA BARAT,Juli,224399,2021
NUSA TENGGARA TIMUR,Juli,205857,2021
KALIMANTAN BARAT,Juli,158340,2021
KALIMANTAN TENGAH,Juli,136067,2021
KALIMANTAN SELATAN,Juli,346333,2021
KALIMANTAN TIMUR,Juli,137412,2021
KALIMANTAN UTARA,Juli,18927,2021
SULAWESI UTARA,Juli,237853,2021
SULAWESI TENGAH,Juli,155542,2021
SULAWESI SELATAN,Juli,838925,2021
SULAWESI TENGGARA,Juli,190375,2021
GORONTALO,Juli,92090,2021
SULAWESI BARAT,Juli,89158,2021
MALUKU,Juli,32749,2021
MALUKU UTARA,Juli,44031,2021
PAPUA BARAT,Juli,26814,2021
PAPUA,Juli,50949,2021
ACEH,Agustus,397120,2021
SUMATERA UTARA,Agustus,1139616,2021
SUMATERA BARAT,Agustus,635405,2021
RIAU,Agustus,418261,2021
JAMBI,Agustus,205004,2021
SUMATERA SELATAN,Agustus,477028,2021
BENGKULU,Agustus,123317,2021
LAMPUNG,Agustus,602800,2021
KEP. BANGKA BELITUNG,Agustus,62355,2021
KEP. RIAU,Agustus,40978,2021
DKI JAKARTA,Agustus,2149334,2021
JAWA BARAT,Agustus,6941962,2021
JAWA TENGAH,Agustus,10234832,2021
DI YOGYAKARTA,Agustus,1283886,2021
JAWA TIMUR,Agustus,9608471,2021
BANTEN,Agustus,2654678,2021
BALI,Agustus,575592,2021
NUSA TENGGARA BARAT,Agustus,232826,2021
NUSA TENGGARA TIMUR,Agustus,218815,2021
KALIMANTAN BARAT,Agustus,186790,2021
KALIMANTAN TENGAH,Agustus,130487,2021
KALIMANTAN SELATAN,Agustus,265638,2021
KALIMANTAN TIMUR,Agustus,155570,2021
KALIMANTAN UTARA,Agustus,17571,2021
SULAWESI UTARA,Agustus,237457,2021
SULAWESI TENGAH,Agustus,131074,2021
SULAWESI SELATAN,Agustus,723167,2021
SULAWESI TENGGARA,Agustus,179936,2021
GORONTALO,Agustus,85478,2021
SULAWESI BARAT,Agustus,80028,2021
MALUKU,Agustus,38200,2021
MALUKU UTARA,Agustus,46619,2021
PAPUA BARAT,Agustus,29913,2021
PAPUA,Agustus,48378,2021
ACEH,September,440652,2021
SUMATERA UTARA,September,1329028,2021
SUMATERA BARAT,September,717460,2021
RIAU,September,480952,2021
JAMBI,September,234360,2021
SUMATERA SELATAN,September,554767,2021
BENGKULU,September,139828,2021
LAMPUNG,September,749160,2021
KEP. BANGKA BELITUNG,September,80206,2021
KEP. RIAU,September,73747,2021
DKI JAKARTA,September,2914875,2021
JAWA BARAT,September,8993185,2021
JAWA TENGAH,September,12699513,2021
DI YOGYAKARTA,September,1879850,2021
JAWA TIMUR,September,12421768,2021
BANTEN,September,3508920,2021
BALI,September,768756,2021
NUSA TENGGARA BARAT,September,253597,2021
NUSA TENGGARA TIMUR,September,277164,2021
KALIMANTAN BARAT,September,201094,2021
KALIMANTAN TENGAH,September,151033,2021
KALIMANTAN SELATAN,September,323585,2021
KALIMANTAN TIMUR,September,207404,2021
KALIMANTAN UTARA,September,22787,2021
SULAWESI UTARA,September,290810,2021
SULAWESI TENGAH,September,157759,2021
SULAWESI SELATAN,September,824543,2021
SULAWESI TENGGARA,September,214553,2021
GORONTALO,September,97555,2021
SULAWESI BARAT,September,90870,2021
MALUKU,September,46237,2021
MALUKU UTARA,September,51543,2021
PAPUA BARAT,September,42337,2021
PAPUA,September,90643,2021
ACEH,Oktober,490983,2021
SUMATERA UTARA,Oktober,1641459,2021
SUMATERA BARAT,Oktober,829981,2021
RIAU,Oktober,542388,2021
JAMBI,Oktober,277376,2021
SUMATERA SELATAN,Oktober,624377,2021
BENGKULU,Oktober,160489,2021
LAMPUNG,Oktober,835530,2021
KEP. BANGKA BELITUNG,Oktober,109459,2021
KEP. RIAU,Oktober,88509,2021
DKI JAKARTA,Oktober,3590483,2021
JAWA BARAT,Oktober,10796398,2021
JAWA TENGAH,Oktober,15670718,2021
DI YOGYAKARTA,Oktober,2749665,2021
JAWA TIMUR,Oktober,15355312,2021
BANTEN,Oktober,4154690,2021
BALI,Oktober,1023186,2021
NUSA TENGGARA BARAT,Oktober,300825,2021
NUSA TENGGARA TIMUR,Oktober,310030,2021
KALIMANTAN BARAT,Oktober,236697,2021
KALIMANTAN TENGAH,Oktober,182649,2021
KALIMANTAN SELATAN,Oktober,415035,2021
KALIMANTAN TIMUR,Oktober,243553,2021
KALIMANTAN UTARA,Oktober,29487,2021
SULAWESI UTARA,Oktober,340274,2021
SULAWESI TENGAH,Oktober,187825,2021
SULAWESI SELATAN,Oktober,960245,2021
SULAWESI TENGGARA,Oktober,237909,2021
GORONTALO,Oktober,104446,2021
SULAWESI BARAT,Oktober,91955,2021
MALUKU,Oktober,52031,2021
MALUKU UTARA,Oktober,67386,2021
PAPUA BARAT,Oktober,40861,2021
PAPUA,Oktober,79326,2021
ACEH,November,445046,2021
SUMATERA UTARA,November,1433761,2021
SUMATERA BARAT,November,733146,2021
RIAU,November,503440,2021
JAMBI,November,247704,2021
SUMATERA SELATAN,November,568239,2021
BENGKULU,November,138376,2021
LAMPUNG,November,760453,2021
KEP. BANGKA BELITUNG,November,101097,2021
KEP. RIAU,November,85577,2021
DKI JAKARTA,November,3503961,2021
JAWA BARAT,November,9236395,2021
JAWA TENGAH,November,16327544,2021
DI YOGYAKARTA,November,2831810,2021
JAWA TIMUR,November,15619037,2021
BANTEN,November,3955307,2021
BALI,November,1025748,2021
NUSA TENGGARA BARAT,November,272499,2021
NUSA TENGGARA TIMUR,November,283321,2021
KALIMANTAN BARAT,November,199557,2021
KALIMANTAN TENGAH,November,153217,2021
KALIMANTAN SELATAN,November,373463,2021
KALIMANTAN TIMUR,November,221625,2021
KALIMANTAN UTARA,November,24119,2021
SULAWESI UTARA,November,333070,2021
SULAWESI TENGAH,November,168918,2021
SULAWESI SELATAN,November,842440,2021
SULAWESI TENGGARA,November,220257,2021
GORONTALO,November,93069,2021
SULAWESI BARAT,November,86912,2021
MALUKU,November,51355,2021
MALUKU UTARA,November,51408,2021
PAPUA BARAT,November,33842,2021
PAPUA,November,63345,2021
ACEH,Desember,615908,2021
SUMATERA UTARA,Desember,2256408,2021
SUMATERA BARAT,Desember,1084422,2021
RIAU,Desember,735090,2021
JAMBI,Desember,367540,2021
SUMATERA SELATAN,Desember,796983,2021
BENGKULU,Desember,210851,2021
LAMPUNG,Desember,1089221,2021
KEP. BANGKA BELITUNG,Desember,140399,2021
KEP. RIAU,Desember,122247,2021
DKI JAKARTA,Desember,4513926,2021
JAWA BARAT,Desember,11284591,2021
JAWA TENGAH,Desember,17809415,2021
DI YOGYAKARTA,Desember,3437656,2021
JAWA TIMUR,Desember,19245908,2021
BANTEN,Desember,3484770,2021
BALI,Desember,1318502,2021
NUSA TENGGARA BARAT,Desember,329405,2021
NUSA TENGGARA TIMUR,Desember,591838,2021
KALIMANTAN BARAT,Desember,341346,2021
KALIMANTAN TENGAH,Desember,245330,2021
KALIMANTAN SELATAN,Desember,473090,2021
KALIMANTAN TIMUR,Desember,378506,2021
KALIMANTAN UTARA,Desember,36413,2021
SULAWESI UTARA,Desember,403468,2021
SULAWESI TENGAH,Desember,243526,2021
SULAWESI SELATAN,Desember,1091834,2021
SULAWESI TENGGARA,Desember,293377,2021
GORONTALO,Desember,122720,2021
SULAWESI BARAT,Desember,109793,2021
MALUKU,Desember,68109,2021
MALUKU UTARA,Desember,73794,2021
PAPUA BARAT,Desember,55063,2021
PAPUA,Desember,114802,2021
ACEH,Januari,483897,2020
SUMATERA UTARA,Januari,2012511,2020
SUMATERA BARAT,Januari,863282,2020
RIAU,Januari,619363,2020
JAMBI,Januari,264201,2020
SUMATERA SELATAN,Januari,620543,2020
BENGKULU,Januari,155102,2020
LAMPUNG,Januari,876254,2020
KEP. BANGKA BELITUNG,Januari,127282,2020
KEP. RIAU,Januari,138085,2020
DKI JAKARTA,Januari,4285490,2020
JAWA BARAT,Januari,10492510,2020
JAWA TENGAH,Januari,13945958,2020
DI YOGYAKARTA,Januari,2564209,2020
JAWA TIMUR,Januari,11480621,2020
BANTEN,Januari,3493296,2020
BALI,Januari,1198046,2020
NUSA TENGGARA BARAT,Januari,357562,2020
NUSA TENGGARA TIMUR,Januari,196280,2020
KALIMANTAN BARAT,Januari,238250,2020
KALIMANTAN TENGAH,Januari,199469,2020
KALIMANTAN SELATAN,Januari,453132,2020
KALIMANTAN TIMUR,Januari,314243,2020
KALIMANTAN UTARA,Januari,27906,2020
SULAWESI UTARA,Januari,156614,2020
SULAWESI TENGAH,Januari,185796,2020
SULAWESI SELATAN,Januari,1027653,2020
SULAWESI TENGGARA,Januari,206468,2020
GORONTALO,Januari,48443,2020
SULAWESI BARAT,Januari,105991,2020
MALUKU,Januari,38562,2020
MALUKU UTARA,Januari,46810,2020
PAPUA BARAT,Januari,46741,2020
PAPUA,Januari,75045,2020
ACEH,Februari,430589,2020
SUMATERA UTARA,Februari,1466193,2020
SUMATERA BARAT,Februari,779785,2020
RIAU,Februari,548129,2020
JAMBI,Februari,250082,2020
SUMATERA SELATAN,Februari,584230,2020
BENGKULU,Februari,140647,2020
LAMPUNG,Februari,782363,2020
KEP. BANGKA BELITUNG,Februari,107273,2020
KEP. RIAU,Februari,112726,2020
DKI JAKARTA,Februari,3980736,2020
JAWA BARAT,Februari,9453029,2020
JAWA TENGAH,Februari,12527304,2020
DI YOGYAKARTA,Februari,2165645,2020
JAWA TIMUR,Februari,10963390,2020
BANTEN,Februari,3108353,2020
BALI,Februari,1076140,2020
NUSA TENGGARA BARAT,Februari,346046,2020
NUSA TENGGARA TIMUR,Februari,177430,2020
KALIMANTAN BARAT,Februari,192950,2020
KALIMANTAN TENGAH,Februari,184057,2020
KALIMANTAN SELATAN,Februari,525682,2020
KALIMANTAN TIMUR,Februari,286192,2020
KALIMANTAN UTARA,Februari,28952,2020
SULAWESI UTARA,Februari,154197,2020
SULAWESI TENGAH,Februari,176960,2020
SULAWESI SELATAN,Februari,932636,2020
SULAWESI TENGGARA,Februari,193500,2020
GORONTALO,Februari,44850,2020
SULAWESI BARAT,Februari,97671,2020
MALUKU,Februari,36768,2020
MALUKU UTARA,Februari,47758,2020
PAPUA BARAT,Februari,44158,2020
PAPUA,Februari,73078,2020
ACEH,Maret,351710,2020
SUMATERA UTARA,Maret,1109440,2020
SUMATERA BARAT,Maret,623248,2020
RIAU,Maret,464347,2020
JAMBI,Maret,206088,2020
SUMATERA SELATAN,Maret,483516,2020
BENGKULU,Maret,117920,2020
LAMPUNG,Maret,658446,2020
KEP. BANGKA BELITUNG,Maret,83654,2020
KEP. RIAU,Maret,68659,2020
DKI JAKARTA,Maret,2731511,2020
JAWA BARAT,Maret,7069903,2020
JAWA TENGAH,Maret,11005404,2020
DI YOGYAKARTA,Maret,1653382,2020
JAWA TIMUR,Maret,9901042,2020
BANTEN,Maret,2403198,2020
BALI,Maret,684140,2020
NUSA TENGGARA BARAT,Maret,266947,2020
NUSA TENGGARA TIMUR,Maret,161512,2020
KALIMANTAN BARAT,Maret,133713,2020
KALIMANTAN TENGAH,Maret,162270,2020
KALIMANTAN SELATAN,Maret,388598,2020
KALIMANTAN TIMUR,Maret,217704,2020
KALIMANTAN UTARA,Maret,22807,2020
SULAWESI UTARA,Maret,158677,2020
SULAWESI TENGAH,Maret,145200,2020
SULAWESI SELATAN,Maret,759362,2020
SULAWESI TENGGARA,Maret,143516,2020
GORONTALO,Maret,54723,2020
SULAWESI BARAT,Maret,69873,2020
MALUKU,Maret,29688,2020
MALUKU UTARA,Maret,38527,2020
PAPUA BARAT,Maret,34282,2020
PAPUA,Maret,57571,2020
ACEH,April,157764,2020
SUMATERA UTARA,April,442072,2020
SUMATERA BARAT,April,226466,2020
RIAU,April,215636,2020
JAMBI,April,114969,2020
SUMATERA SELATAN,April,234250,2020
BENGKULU,April,61421,2020
LAMPUNG,April,356647,2020
KEP. BANGKA BELITUNG,April,34757,2020
KEP. RIAU,April,19843,2020
DKI JAKARTA,April,800210,2020
JAWA BARAT,April,2572442,2020
JAWA TENGAH,April,8810623,2020
DI YOGYAKARTA,April,731738,2020
JAWA TIMUR,April,6570521,2020
BANTEN,April,1058760,2020
BALI,April,273450,2020
NUSA TENGGARA BARAT,April,114758,2020
NUSA TENGGARA TIMUR,April,102092,2020
KALIMANTAN BARAT,April,58284,2020
KALIMANTAN TENGAH,April,78802,2020
KALIMANTAN SELATAN,April,142599,2020
KALIMANTAN TIMUR,April,91121,2020
KALIMANTAN UTARA,April,9670,2020
SULAWESI UTARA,April,66627,2020
SULAWESI TENGAH,April,65380,2020
SULAWESI SELATAN,April,287133,2020
SULAWESI TENGGARA,April,71545,2020
GORONTALO,April,33603,2020
SULAWESI BARAT,April,26873,2020
MALUKU,April,10479,2020
MALUKU UTARA,April,22439,2020
PAPUA BARAT,April,9348,2020
PAPUA,April,24783,2020
ACEH,Mei,258310,2020
SUMATERA UTARA,Mei,576278,2020
SUMATERA BARAT,Mei,250931,2020
RIAU,Mei,249411,2020
JAMBI,Mei,133020,2020
SUMATERA SELATAN,Mei,223800,2020
BENGKULU,Mei,67769,2020
LAMPUNG,Mei,395199,2020
KEP. BANGKA BELITUNG,Mei,48428,2020
KEP. RIAU,Mei,17661,2020
DKI JAKARTA,Mei,1102095,2020
JAWA BARAT,Mei,3478828,2020
JAWA TENGAH,Mei,7558284,2020
DI YOGYAKARTA,Mei,665050,2020
JAWA TIMUR,Mei,7672138,2020
BANTEN,Mei,1372881,2020
BALI,Mei,261406,2020
NUSA TENGGARA BARAT,Mei,134465,2020
NUSA TENGGARA TIMUR,Mei,78698,2020
KALIMANTAN BARAT,Mei,70612,2020
KALIMANTAN TENGAH,Mei,75118,2020
KALIMANTAN SELATAN,Mei,140584,2020
KALIMANTAN TIMUR,Mei,95763,2020
KALIMANTAN UTARA,Mei,8536,2020
SULAWESI UTARA,Mei,58036,2020
SULAWESI TENGAH,Mei,65852,2020
SULAWESI SELATAN,Mei,308242,2020
SULAWESI TENGGARA,Mei,71224,2020
GORONTALO,Mei,27476,2020
SULAWESI BARAT,Mei,22014,2020
MALUKU,Mei,7978,2020
MALUKU UTARA,Mei,12649,2020
PAPUA BARAT,Mei,11657,2020
PAPUA,Mei,26829,2020
ACEH,Juni,298482,2020
SUMATERA UTARA,Juni,864667,2020
SUMATERA BARAT,Juni,562966,2020
RIAU,Juni,390121,2020
JAMBI,Juni,183620,2020
SUMATERA SELATAN,Juni,339725,2020
BENGKULU,Juni,100775,2020
LAMPUNG,Juni,559053,2020
KEP. BANGKA BELITUNG,Juni,53351,2020
KEP. RIAU,Juni,29392,2020
DKI JAKARTA,Juni,1730939,2020
JAWA BARAT,Juni,6047886,2020
JAWA TENGAH,Juni,8741458,2020
DI YOGYAKARTA,Juni,966026,2020
JAWA TIMUR,Juni,9184613,2020
BANTEN,Juni,1757307,2020
BALI,Juni,427300,2020
NUSA TENGGARA BARAT,Juni,219509,2020
