provinsi,jumlah_hotel,jumlah_kamar,tahun
JAWA TIMUR,3783,18437,2023
BANTEN,458,91161,2023
BALI,3895,15253,2023
NUSA TENGGARA BARAT,892,11453,2023
NUSA TENGGARA TIMUR,612,14448,2023
KALIMANTAN BARAT,509,9981,2023
KALIMANTAN TENGAH,514,11011,2023
KALIMANTAN SELATAN,491,16805,2023
KALIMANTAN TIMUR,629,3159,2023
KALIMANTAN UTARA,138,8311,2023
SULAWESI UTARA,266,8224,2023
SULAWESI TENGAH,613,25558,2023
SULAWESI SELATAN,993,7130,2023
SULAWESI TENGGARA,467,2605,2023
GORONTALO,135,2434,2023
SULAWESI BARAT,163,6341,2023
MALUKU,356,5027,2023
MALUKU UTARA,318,4512,2023
PAPUA BARAT,229,8224,2023
PAPUA,270,8224,2023
